0-0,0-0.2,0-0.4,0-0.6,0-0.8,0-1.0,0.2-0,0.2-0.2,0.2-0.4,0.2-0.6,0.2-0.8,0.2-1.0,0.4-0,0.4-0.2,0.4-0.4,0.4-0.6,0.4-0.8,0.4-1.0,0.6-0,0.6-0.2,0.6-0.4,0.6-0.6,0.6-0.8,0.6-1.0,0.8-0,0.8-0.2,0.8-0.4,0.8-0.6,0.8-0.8,0.8-1.0,1.0-0,1.0-0.2,1.0-0.4,1.0-0.6,1.0-0.8,1.0-1.0
-63.903100717589204,-69.77653824370095,-72.42538943392628,-73.78017534012429,-74.54939698717016,-75.02735882347264,-63.063016468959134,-69.51676366046367,-72.31808249287344,-73.72756452581105,-74.52025911978285,-75.00955966857775,-62.0765391672051,-69.23210324279006,-72.20380878619095,-73.6723868664088,-74.48998826972912,-74.99119400948169,-60.90235536858482,-68.91863948322347,-72.08178523881845,-73.61443731611875,-74.4585229697115,-74.97223577636909,-59.48264427173328,-68.57181806448243,-71.95124545172914,-73.55350331479364,-74.42578229306619,-74.95265300383925,-57.73438175811717,-68.18576605015508,-71.8113308477191,-73.48935921117983,-74.39169283237005,-74.93240135143157
-63.86455379264741,-69.86797310323794,-72.50498224555469,-73.83401695783779,-74.58385751673339,-75.04947663638347,-62.98142090161261,-69.61355386515967,-72.40399911872913,-73.78572631128014,-74.55750345374254,-75.03349027765496,-61.928961672860204,-69.3335412271376,-72.29628440684388,-73.73505306345133,-74.53012869704442,-75.0170042543734,-60.65402050492854,-69.02363347413853,-72.18105656829536,-73.68180351753753,-74.50167678598199,-74.99999492599646,-59.07938728121459,-68.67880146047027,-72.05752898784318,-73.62577509934725,-74.47207409714828,-74.98243407936882,-57.09008038173309,-68.29259601297628,-71.92482460425758,-73.56675049053855,-74.44125282004279,-74.96428299037862
-63.827006706428236,-69.95291133993408,-72.57628828318428,-73.88087999704712,-74.61320367195951,-75.06804079934506,-62.900248453129066,-69.70410685606947,-72.4812485982948,-73.83646513059213,-74.58926479738345,-75.05358748698639,-61.77872429567054,-69.42914425392144,-72.37973564680016,-73.78984535244648,-74.56440793370709,-75.03869397739305,-60.394552229135805,-69.12338763247989,-72.27097778701767,-73.74083878344557,-74.53858154109886,-75.02333899797601,-58.64565042134391,-68.78127818323993,-72.15418108219893,-73.68925375282328,-74.5117190152392,-75.00749709302318,-56.372826035523275,-68.39584679872979,-72.0284495397151,-73.63488294510653,-74.48375805109671,-74.99113480944851
-63.79041265103449,-70.03187648294849,-72.64026290568299,-73.92176401989671,-74.63827921365743,-75.08369169224149,-62.8194016360493,-69.78885993870021,-72.55078146116256,-73.88081726415908,-74.61643321003643,-75.07053464779885,-61.625458807794445,-69.5192518444159,-72.4550997084243,-73.83783480221103,-74.59376244380151,-75.05698995949402,-60.12257792821913,-69.21812600078428,-72.35246228802714,-73.79264668654497,-74.57022009787437,-75.04303859320598,-58.176445529844614,-68.87939276764911,-72.2420780427969,-73.74507261712105,-74.54574618633518,-75.02865780301292,-55.567028744690994,-68.49555600379514,-72.12304587250283,-73.69491630721753,-74.52028369815251,-75.0138183179423
-63.75472803234111,-70.1053430774042,-72.69773674963494,-73.95750574792858,-74.65976639467532,-75.09693101794666,-62.73879083801922,-69.86821540154213,-72.61343254667844,-73.91965630888797,-74.63973275985269,-75.08487039600672,-61.46879973247313,-69.60418290242032,-72.52320883857577,-73.8799307116367,-74.61895849815885,-75.07246835083102,-59.836636788038064,-69.30806786385929,-72.42633131611014,-73.83817079090785,-74.59740124736909,-75.05970792053591,-57.66604389110671,-68.97328762569637,-72.32201942562166,-73.79420774239384,-74.57500717476914,-75.04656893282477,-54.65291915737544,-68.59176942121633,-72.20937773261724,-73.74785684154297,-74.55172427525534,-75.03302587801093
-63.71991222159409,-70.17374163326092,-72.74943281959462,-73.98880684451588,-74.6782183629213,-75.10815339739503,-62.658333398595815,-69.9425435444823,-72.66993545733686,-73.95371969792262,-74.65975384093129,-75.09702082659234,-61.30838080397979,-69.68423693611489,-72.58480187501307,-73.91690567885595,-74.64062429368755,-75.08558734806668,-59.534965318806655,-69.3934269502849,-72.49332227092336,-73.87821806523391,-74.62079150718493,-75.07383789022879,-57.10732602954388,-69.06310311152744,-72.3947326620282,-73.8374994192622,-74.60020730903031,-75.06175467003015,-53.60477019545621,-68.68453988694117,-72.28815157849833,-73.79457674176311,-74.57882436797009,-75.04931552840071
-63.68592732672242,-70.23746276326821,-72.79598119434739,-74.01625685779793,-74.6940849254167,-75.11767061662955,-62.577952787999486,-70.01218541487061,-72.72093523177672,-73.98363085635627,-74.67697909585493,-75.10732438002377,-61.14383162043439,-69.75969518751175,-72.64053464811994,-73.94941681915974,-74.65927595505106,-75.09671267231903,-59.21550519894059,-69.47441080557711,-72.55409654651159,-73.91347899739826,-74.64094111409275,-75.08582212813579,-56.49181068101946,-69.14895915131848,-72.46087796951475,-73.87567100730226,-74.62193156568453,-75.07463714763692,-52.38839356869969,-68.77392624656866,-72.36001770246746,-73.83583146580767,-74.60220430018701,-75.0631385361059
-63.652737981790224,-70.29686116728372,-72.83793168259872,-74.04035229134743,-74.70773305304928,-75.1257302589577,-62.49757787505082,-70.07745467775655,-72.76699944813235,-74.00991770828757,-74.69180421785026,-75.11605110919521,-60.974774432365855,-69.83082168690163,-72.69098932476732,-73.97802370394712,-74.67533857942612,-75.1061374424839,-58.87602661973007,-69.55122031542248,-72.60924686543177,-73.94454483397949,-74.65830524979584,-75.09597742181894,-55.80864697453195,-69.23097219481478,-72.52105336537075,-73.90934532925384,-74.640665906021,-75.08555741992106,-50.957608673834415,-68.859992426588,-72.42557252695578,-73.87227511849964,-74.62238150462045,-75.07486085195978
-63.620311153141856,-70.35225920998278,-72.87576471548456,-74.06151219510512,-74.71946321579205,-75.13253004163018,-62.41714227337391,-70.13863807951184,-72.80862794460066,-74.03302805896666,-74.70455465252593,-75.12341761074524,-60.80080286942655,-69.8978642447803,-72.73668277866716,-74.00320351283528,-74.68916326808684,-75.11409768576969,-58.51392148304163,-69.62404935935818,-72.65930408505945,-73.97192232387563,-74.6732613605773,-75.10455979133928,-55.044570813410324,-69.3092632922831,-72.57579964596785,-73.93905889134403,-74.65681483573566,-75.09479206799215,-49.24910147800028,-68.94280659738932,-72.4853614252383,-73.90447401701243,-74.639788269163,-75.08478022105317
-63.58861596090831,-70.40395013314387,-72.90990072337135,-74.08009104978612,-74.72952240965364,-75.13822886254299,-62.336583756463426,-70.19600101306317,-72.84626132310713,-74.05334252544158,-74.71549901543975,-75.12959860899252,-60.62138870584009,-69.96105539008025,-72.77807406906152,-74.02536375087331,-74.70104091108206,-75.12078445190623,-58.125997474257865,-69.69308457710399,-72.70474346983733,-73.99604630338942,-74.6861232818026,-75.1117771244042,-54.18274893456162,-69.3839563098622,-72.6256052307142,-73.96527417672118,-74.67071583748023,-75.10256634213827,-47.17275189989005,-69.02244041785525,-72.5398818599523,-73.93291858989502,-74.65478644166429,-75.09313981574303
